@relation MyRelation

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute y4 numeric
@attribute y5 numeric
@attribute y6 numeric
@attribute z1 numeric
@attribute z2 numeric
@attribute z3 numeric
@attribute z4 numeric
@attribute z5 numeric
@attribute z6 numeric
@attribute or0 numeric
@attribute or1 numeric
@attribute or2 numeric
@attribute or3 numeric
@attribute or4 numeric
@attribute or5 numeric
@attribute or6 numeric
@attribute or7 numeric
@attribute or8 numeric
@attribute att7 {eating,non-eating}

@data
236.279999,930.640015,137.919998,832.243225,2402.449707,12337.682617,344,1040,352,160,496,-216,14.271357,27.417086,50.814072,184,544,568,23,107.266586,101.578346,8.676182,?,107.266586,101.578346,8.676182,?,eating
664.320007,667.039978,133.919998,11878.171875,11441.897461,9216.155273,888,832,344,504,392,-88,11.015076,16.522614,29.547739,384,440,432,15,148.266922,123.460724,17.033892,?,148.266922,123.460724,17.033892,?,eating
692.039978,615.440002,248.919998,3605.873047,4034.579102,4301.947266,792,712,480,600,456,48,8.442211,11.819096,21.788944,192,256,432,4,141.444122,128.226974,72.696136,?,141.444122,128.226974,72.696136,?,eating
711.559998,586.359985,168.639999,8930.558594,2657.66333,46420.496094,888,736,552,552,384,-96,9.085427,12.783919,25.889448,336,352,648,7,145.975372,124.215561,36.71698,?,145.975372,124.215561,36.71698,?,eating
680.159973,562.320007,377.160004,3428.360596,570.257507,8238.567383,784,600,520,584,480,208,8.482412,7.879397,20.221106,200,120,312,7,141.965302,128.229889,37.019863,?,141.965302,128.229889,37.019863,?,eating
678.400024,546.559998,338.640015,8800.439453,1229.020142,55146.828125,832,664,608,568,504,-24,8.080402,9.246231,20.864321,264,160,632,9,144.655334,126.14386,27.68383,?,144.655334,126.14386,27.68383,?,eating
680.960022,565.840027,347.880005,3853.172119,608.260071,24952.261719,800,624,560,592,520,104,7.517588,8.723619,17.688442,208,104,456,4,140.938705,127.468925,69.94973,?,140.938705,127.468925,69.94973,?,eating
712.280029,615.159973,137.679993,5760.20752,2407.851807,23681.666016,808,712,424,568,496,-64,7.718593,10.894472,18.934673,240,216,488,4,143.488556,136.920898,75.409019,?,143.488556,136.920898,75.409019,?,eating
712.280029,615.159973,137.679993,5760.20752,2407.851807,23681.666016,808,712,424,568,496,-64,7.718593,10.894472,18.934673,240,216,488,4,143.488556,136.920898,75.409019,?,143.488556,136.920898,75.409019,?,eating
642.880005,683.919983,-44.279999,2190.169678,2174.748779,50874.453125,744,792,320,576,584,-400,8.160804,11.618091,22.070353,168,208,720,10,137.624817,126.346291,24.665104,?,137.624817,126.346291,24.665104,?,eating
477,618.080017,372.679993,4464.195801,40053.203125,162774.375,632,1008,912,328,296,-504,11.296482,21.427135,35.296482,304,712,1416,20,125.62471,110.093277,11.309498,?,125.62471,110.093277,11.309498,?,eating
485.399994,564.359985,321.920013,2517.509521,76413.320313,235170.890625,616,976,888,360,136,-560,12.623116,21.18593,33.849247,256,840,1448,22,124.712555,112.133904,10.424968,?,124.712555,112.133904,10.424968,?,eating
517.599976,638.840027,262.559998,4925.753906,37363.347656,166051.21875,680,992,880,384,328,-512,9.809045,23.276382,34.371861,296,664,1392,19,126.390999,114.468201,12.133002,?,126.390999,114.468201,12.133002,?,eating
478.959991,641.47998,308.600006,5701.680176,43956.8125,180084.703125,640,1040,816,344,312,-712,13.025126,28.38191,44.904522,296,728,1528,15,124.236946,110.673424,14.861933,?,124.236946,110.673424,14.861933,?,eating
546,518.200012,177.880005,13191.551758,25604.146484,344687.25,736,800,920,320,232,-672,13.346734,26.733669,37.989948,416,568,1592,17,133.256409,113.144119,14.030018,?,133.256409,113.144119,14.030018,?,eating
500.119995,608.280029,180.399994,7461.93457,47450.910156,264851.125,640,1000,992,320,192,-864,15.517588,31.396984,58.613064,320,808,1856,10,129.680817,109.213333,23.059708,?,129.680817,109.213333,23.059708,?,eating
539.119995,595.47998,-92.68,9534.264648,26283.480469,280184.46875,760,1000,656,320,336,-1104,17.929647,35.21608,69.065323,440,664,1760,10,132.407547,108.598236,22.230297,?,132.407547,108.598236,22.230297,?,eating
587.840027,619.840027,72.360001,6762.719727,22022.361328,215190.71875,760,928,1120,424,320,-1152,17.125628,36.703518,73.447235,336,608,2272,13,137.154495,118.770042,18.821436,?,137.154495,118.770042,18.821436,?,eating
545.080017,594.76001,131.800003,11411.714844,25327.638672,264863.46875,736,920,1096,328,296,-872,15.035176,31.356785,56.442211,408,624,1968,14,136.184402,111.049438,16.890284,?,136.184402,111.049438,16.890284,?,eating
447.519989,670.359985,440.480011,3281.469971,35254.898438,76874.359375,560,944,944,360,328,-176,12.261307,21.58794,42.050251,200,616,1120,17,122.396629,111.162018,13.085781,?,122.396629,111.162018,13.085781,?,eating
386.200012,737.919983,244.399994,9112.389648,32216.958984,176610.890625,576,1088,1192,176,232,-1000,16.723618,32.603016,67.17588,400,856,2192,19,121.707542,102.919289,11.49547,?,121.707542,102.919289,11.49547,?,eating
385.480011,824.47998,126.959999,17852.498047,18703.894531,68391.429688,608,1032,560,176,552,-496,8.40201,18.572865,31.356785,432,480,1056,20,127.658897,100.140793,10.806465,?,127.658897,100.140793,10.806465,?,eating
331.920013,871.840027,161.039993,11107.035156,7598.178223,35401.527344,528,1064,568,168,672,-256,8.562814,16.643215,25.487436,360,392,824,12,119.232819,101.556473,17.317625,?,119.232819,101.556473,17.317625,?,eating
392.200012,779.400024,205.559998,4667.446777,16163.630859,142517.53125,544,1080,784,256,512,-600,13.185929,23.316584,36.100502,288,568,1384,12,118.697449,107.674652,17.767639,?,118.697449,107.674652,17.767639,?,eating
309.399994,825.640015,352.359985,5481.445801,11646.859375,41905.730469,456,1040,848,136,576,-64,10.974874,17.527637,27.9799,320,464,912,20,115.513268,99.686272,10.284957,?,115.513268,99.686272,10.284957,?,eating
408.119995,777.52002,347.559998,7484.767578,14149.057617,32475.140625,600,992,696,248,528,-168,11.055276,14.954774,30.472363,352,464,864,16,124.559113,106.278954,13.362662,?,124.559113,106.278954,13.362662,?,eating
341.359985,842.960022,278.399994,13880.040039,12421.293945,16343.482422,584,1064,576,136,584,8,8.80402,19.135679,31.075377,448,480,568,9,112.487717,103.008186,22.745049,?,112.487717,103.008186,22.745049,?,eating
591.119995,696.76001,37.52,3729.23999,8373.775391,100359.328125,728,936,640,464,504,-584,13.668342,21.748743,47.115578,264,432,1224,11,131.117188,118.304642,21.45788,?,131.117188,118.304642,21.45788,?,eating
526.52002,720.119995,63.759998,1478.768799,4198.586914,141706.875,608,872,696,416,568,-616,9.889447,19.055277,35.296482,192,304,1312,18,127.518257,114.670853,12.979947,?,127.518257,114.670853,12.979947,?,eating
572.679993,687.280029,146.639999,6676.130859,19682.474609,103763.046875,800,880,696,464,304,-584,13.748744,22.39196,47.396984,336,576,1280,11,136.810776,118.83606,21.846375,?,136.810776,118.83606,21.846375,?,eating
482.200012,773.640015,183.800003,21422.894531,14795.100586,49606.386719,744,936,792,296,320,-552,14.110553,19.9799,44.663315,448,616,1344,6,137.193771,108.685883,38.405228,?,137.193771,108.685883,38.405228,?,eating
564.47998,660.599976,146.880005,7673.335449,10150.911133,163557.640625,728,816,648,424,392,-824,11.859297,17.648241,38.914574,304,424,1472,15,133.411301,116.48774,15.8165,?,133.411301,116.48774,15.8165,?,eating
533.799988,639.76001,307.799988,6981.438477,15234.485352,135351.28125,736,840,824,400,400,-640,12.180904,17.366835,33.28643,336,440,1464,11,129.334625,114.131042,20.689487,?,129.334625,114.131042,20.689487,?,eating
494.359985,728.23999,360.279999,7598.508301,9996.796875,23607.560547,664,936,888,360,552,-120,11.778894,20.38191,43.256283,304,384,1008,13,125.911812,113.077438,17.353819,?,125.911812,113.077438,17.353819,?,eating
507,595.119995,549.039978,2092.666504,4771.230957,27627.638672,640,808,840,312,472,-416,12.060302,15.718593,39.959801,328,336,1256,8,120.752434,118.25396,28.416857,?,120.752434,118.25396,28.416857,?,eating
546.200012,600.320007,403,7875.471191,12796.670898,106433.890625,712,992,752,344,472,-464,10.814071,16.442211,37.748745,368,520,1216,15,133.314713,117.65609,15.587211,?,133.314713,117.65609,15.587211,?,eating
493.480011,699.559998,376.23999,14150.470703,2321.168457,56211.890625,680,824,768,312,608,-152,11.939698,19.9799,40.321609,368,216,920,14,130.38942,109.722923,16.420708,?,130.38942,109.722923,16.420708,?,eating
457.359985,677.599976,123.080002,15851.507813,21783.824219,256177.953125,696,1048,992,136,320,-960,17.045227,35.819096,67.778893,560,728,1952,3,122.541756,102.422203,88.131302,?,122.541756,102.422203,88.131302,?,eating
506.040009,747.960022,12.76,3759.594971,12226.884766,132502.578125,744,904,552,368,328,-816,13.025126,24.120604,40.402012,376,576,1368,27,133.733429,113.610252,8.578329,?,133.733429,113.610252,8.578329,?,eating
500.119995,776.640015,13.28,2285.333008,9766.206055,84617.289063,632,1024,568,400,480,-568,12.462312,25.447237,44.984924,232,544,1136,14,121.491974,113.510452,16.040693,?,121.491974,113.510452,16.040693,?,eating
627.679993,607.47998,-445.799988,582.003784,4101.193359,5340.59375,688,912,-272,536,456,-584,10.090452,18.613066,22.231155,152,456,312,25,132.155228,127.907608,10.042988,?,132.155228,127.907608,10.042988,?,eating
607.52002,625.599976,-447.23999,781.25,5381.155762,7723.492676,656,800,-216,528,464,-584,10.77387,13.587939,25.326633,128,336,368,32,131.085052,121.882965,7.798867,?,131.085052,121.882965,7.798867,?,eating
662,628.679993,-336.600006,2445.351807,6180.213379,6956.336914,728,864,-80,512,504,-464,10.090452,13.346734,22.673367,216,360,384,29,135.5737,122.373405,8.847185,?,135.5737,122.373405,8.847185,?,eating
628.559998,646.23999,-380.959991,1478.454834,5474.528809,4611.589355,688,904,-120,520,528,-496,10.331658,15.035176,23.356785,168,376,376,23,132.964905,125.579056,10.990672,?,132.964905,125.579056,10.990672,?,eating
614.719971,602,-477.559998,1926.099243,3619.221191,2737.013184,680,832,-272,504,512,-600,9.20603,13.668342,22.592964,176,320,328,37,132.637741,122.457253,6.776626,?,132.637741,122.457253,6.776626,?,eating
586.119995,620.52002,-485.920013,1626.350464,6092.242676,4301.319336,664,768,-344,504,512,-576,7.758794,10.532663,19.61809,160,256,232,46,129.964005,121.403931,5.387403,?,129.964005,121.403931,5.387403,?,eating
622.840027,658.599976,-355.119995,4511.118164,7642.682129,2462.743408,736,808,-256,520,504,-480,8.361809,12.221106,21.547739,216,304,224,28,137.533981,122.424568,8.991062,?,137.533981,122.424568,8.991062,?,eating
527.280029,646.159973,-502.640015,1388.819092,8923.178711,22486.886719,584,864,24,424,512,-632,7.59799,16.120604,24.442211,160,352,656,28,125.810463,115.042015,8.486757,?,125.810463,115.042015,8.486757,?,eating
556.119995,594.719971,-510.399994,7456.81543,32610.740234,22274.59375,688,824,-288,432,352,-696,9.487437,12.944724,20.904522,256,472,408,22,130.630249,117.132111,10.856113,?,130.630249,117.132111,10.856113,?,eating
546.280029,629.679993,-494.200012,4738.787598,8102.983887,35119.222656,648,824,-32,400,376,-784,11.658292,19.738693,37.668343,248,448,752,20,129.974838,115.619179,11.560889,?,129.974838,115.619179,11.560889,?,eating
479.320007,644.960022,524.880005,2444.708008,3363.06543,12826.852539,568,824,704,384,544,16,9.889447,13.587939,27.537689,184,280,688,8,122.927864,114.183167,28.313602,?,122.927864,114.183167,28.313602,?,eating
523.960022,702.159973,302.200012,10517.870117,2527.700928,64010.566406,728,808,584,344,584,-288,10.492462,16.040201,33.728642,384,224,872,14,136.49295,113.47879,16.845051,?,136.49295,113.47879,16.845051,?,eating
529,636.320007,319.519989,16983.449219,8408.008789,141621.171875,768,832,1008,320,496,-728,15.437186,19.819096,46.673367,448,336,1736,21,127.831146,112.100281,10.733303,?,127.831146,112.100281,10.733303,?,eating
373.279999,735.719971,492.519989,7225.533691,2558.982422,15251.036133,504,904,680,264,648,168,9.728643,11.457287,28.140703,240,256,512,8,117.561401,106.671936,26.411991,?,117.561401,106.671936,26.411991,?,eating
457.440002,731.559998,238.039993,11063.803711,8386.118164,126591.046875,640,872,688,280,400,-616,11.015076,12.703518,29.58794,360,472,1304,11,123.080681,106.322052,19.313181,?,123.080681,106.322052,19.313181,?,eating
405.799988,734.200012,118.120003,6740.876465,21064.259766,221405.265625,552,912,672,272,360,-936,11.336683,16.080402,35.296482,280,552,1608,8,122.588989,108.589668,26.991154,?,122.588989,108.589668,26.991154,?,eating
555.23999,694.840027,201.520004,8044.158203,9243.24707,103278.875,720,968,784,360,432,-560,13.065327,24.241205,40.080402,360,536,1344,9,129.94545,114.049004,25.806416,?,129.94545,114.049004,25.806416,?,eating
555.23999,694.840027,201.520004,8044.158203,9243.24707,103278.875,720,968,784,360,432,-560,13.065327,24.241205,40.080402,360,536,1344,9,129.94545,114.049004,25.806416,?,129.94545,114.049004,25.806416,?,eating
577.280029,747.919983,76.519997,2103.580322,4536.620605,33540.875,696,840,392,472,304,-728,7.19598,11.175879,24.241205,224,536,1120,11,132.115555,122.800575,21.462137,?,132.115555,122.800575,21.462137,?,eating
579.23999,727.719971,192.039993,2680.339111,3546.984863,30012.138672,760,824,448,480,440,-608,8.80402,10.211055,25.809046,280,384,1056,16,136.186325,120.684113,15.035909,?,136.186325,120.684113,15.035909,?,eating
604.159973,627.119995,50.560001,3518.404541,59557.820313,126906.375,768,816,432,528,-56,-1000,10.37186,14.713568,28.904522,240,872,1432,9,140.236313,126.689735,28.151562,?,140.236313,126.689735,28.151562,?,eating
531,732.919983,-97.800003,21127.357422,18979.835938,86377.117188,704,1024,304,64,240,-800,13.145729,20.864321,37.628139,640,784,1104,5,134.561035,127.056976,51.663574,?,134.561035,127.056976,51.663574,?,eating
436.040009,854.679993,78.080002,4102.418457,3830.213623,7956.737305,592,1008,320,344,720,-200,10.090452,12.944724,25.648241,248,288,520,5,120.665756,112.467407,45.700684,?,120.665756,112.467407,45.700684,?,eating
395.119995,870,63.32,7061.730469,4373.680664,18547.636719,520,1000,304,272,712,-424,8.361809,18.291458,27.095478,248,288,728,15,119.364204,106.764236,14.21798,?,119.364204,106.764236,14.21798,?,eating
386.76001,861.719971,97.440002,6570.822754,3832.600586,42172.304688,568,952,384,288,712,-544,9.56784,12.462312,22.351759,280,240,928,13,122.308647,109.640556,16.933109,?,122.308647,109.640556,16.933109,?,eating
374.600006,801.440002,-5.48,5894.708008,24242.023438,145005.078125,544,952,400,264,384,-848,8.241206,13.587939,27.095478,280,568,1248,10,118.281746,105.721489,20.961864,?,118.281746,105.721489,20.961864,?,eating
443.920013,823.47998,62,2464.133057,3113.944824,69332.101563,536,936,344,376,656,-512,8.884422,11.135678,22.753769,160,280,856,13,122.407097,112.686096,17.260775,?,122.407097,112.686096,17.260775,?,eating
374.799988,862.200012,182.960007,4560.254395,4593.467285,21284.21875,488,1000,456,256,728,-72,8.281407,11.055276,22.914574,232,272,528,18,118.700462,104.907204,11.622639,?,118.700462,104.907204,11.622639,?,eating
433.440002,805.359985,115.919998,3724.073486,2480.967285,106353.851563,616,904,504,352,680,-680,8.522614,10.974874,23.19598,264,224,1184,6,121.461411,111.55397,37.026295,?,121.461411,111.55397,37.026295,?,eating
423.559998,818,268.440002,3650.376953,5915.515137,18079.326172,512,1056,472,240,648,-360,7.718593,10.572865,22.633165,272,408,832,7,120.152222,113.540657,31.810112,?,120.152222,113.540657,31.810112,?,eating
431.920013,822.119995,-42.959999,8337.358398,7979.083008,81316.21875,704,952,448,288,536,-720,9.929648,14.512563,28.944723,416,416,1168,24,132.801193,108.107384,9.32955,?,132.801193,108.107384,9.32955,?,eating
450.040009,797.919983,137.559998,6665.625,4011.243652,83453.234375,640,1008,480,248,640,-504,9.045226,12.743718,23.758795,392,368,984,15,119.602562,106.206993,14.544432,?,119.602562,106.206993,14.544432,?,eating
